Sample	Season	Site	Species	Condition	Compartment	Replicate	Species_Condition	Group	
prNAD10R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	10	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD11E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	11	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD11R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	11	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAD12E	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Endosphere	12	Psylvestris_autochthonous_Symptomatic	prNADE	
prNAD12R	Spring	SierraNevada	Psylvestris_autochthonous	Symptomatic	Rhizosphere	12	Psylvestris_autochthonous_Symptomatic	prNADR	
prNAH01E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	1	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH01R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	1	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH02E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	2	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH02R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	2	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH03E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	3	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH03R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	3	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH04E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	4	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH04R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	4	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH05E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	5	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH05R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	5	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH06E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	6	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH06R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	6	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH07E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	7	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH07R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	7	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH08E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	8	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH08R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	8	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH09E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	9	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH09R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	9	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH10E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	10	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH10R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	10	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH11E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	11	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH11R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	11	Psylvestris_autochthonous_Asymptomatic	prNAHR	
prNAH12E	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Endosphere	12	Psylvestris_autochthonous_Asymptomatic	prNAHE	
prNAH12R	Spring	SierraNevada	Psylvestris_autochthonous	Asymptomatic	Rhizosphere	12	Psylvestris_autochthonous_Asymptomatic	prNAHR	
